epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,556.285,0.90017,0.6937,1.04399,0.55421,0.64407,0.63641,0.39436,1.32989,1.21361,1.28581,0.000433044,0.000433044,0.000433044
90,561.849,0.87327,0.68275,1.02591,0.57666,0.67797,0.64681,0.41499,1.36457,1.15778,1.30692,0.000421726,0.000421726,0.000421726
91,567.373,0.8928,0.68083,1.02585,0.63055,0.54237,0.59829,0.37342,1.37136,1.37297,1.31474,0.000410409,0.000410409,0.000410409
92,572.975,0.88399,0.64746,1.0048,0.56775,0.58626,0.60875,0.39033,1.37071,1.28463,1.31555,0.000399091,0.000399091,0.000399091
93,578.619,0.84504,0.65287,1.01911,0.59114,0.58192,0.61123,0.38707,1.3527,1.34726,1.32059,0.000387773,0.000387773,0.000387773
94,584.175,0.8527,0.63778,1.00836,0.6401,0.53672,0.59938,0.36745,1.41688,1.45034,1.36596,0.000376456,0.000376456,0.000376456
95,589.824,0.88994,0.75935,1.02352,0.61581,0.57627,0.59442,0.36076,1.35658,1.45821,1.32679,0.000365138,0.000365138,0.000365138
96,595.599,0.854,0.64589,1.02997,0.61022,0.55367,0.5912,0.36891,1.40421,1.45655,1.32493,0.00035382,0.00035382,0.00035382
97,601.241,0.84605,0.64528,1.00021,0.66863,0.53107,0.57867,0.35818,1.39493,1.51049,1.34212,0.000342503,0.000342503,0.000342503
98,606.856,0.86875,0.66248,1.01875,0.65751,0.50282,0.59068,0.36484,1.39736,1.47177,1.36545,0.000331185,0.000331185,0.000331185
99,612.417,0.85981,0.78587,1.05546,0.60848,0.58757,0.6147,0.38407,1.38823,1.34553,1.35779,0.000319867,0.000319867,0.000319867
100,618.039,0.91843,0.80158,1.0777,0.67855,0.50282,0.58033,0.36201,1.39576,1.49261,1.31572,0.00030855,0.00030855,0.00030855
101,623.67,0.835,0.6225,1.00099,0.61827,0.60452,0.60002,0.3809,1.34733,1.46432,1.28912,0.000297232,0.000297232,0.000297232
102,629.369,0.81912,0.69419,0.97122,0.66801,0.58192,0.63671,0.40478,1.31366,1.18331,1.25441,0.000285914,0.000285914,0.000285914
103,635.047,0.83964,0.65734,0.99901,0.70136,0.55367,0.62993,0.40379,1.3613,1.26836,1.27585,0.000274597,0.000274597,0.000274597
104,640.656,0.81553,0.58468,0.98233,0.68216,0.53672,0.59771,0.39037,1.33281,1.39625,1.27199,0.000263279,0.000263279,0.000263279
105,646.362,0.8933,0.77152,1.03493,0.60435,0.56497,0.60989,0.39039,1.35766,1.38968,1.30658,0.000251961,0.000251961,0.000251961
106,651.97,0.8178,0.59527,1.01367,0.6363,0.58757,0.61776,0.40286,1.34157,1.36009,1.29056,0.000240644,0.000240644,0.000240644
107,657.681,0.84179,0.61927,0.99467,0.62102,0.53672,0.59551,0.39513,1.33976,1.47105,1.28723,0.000229326,0.000229326,0.000229326
108,663.382,0.80068,0.58669,0.98971,0.69336,0.47269,0.58535,0.38555,1.38026,1.52259,1.30353,0.000218008,0.000218008,0.000218008
109,669.014,0.78064,0.59712,0.95543,0.6066,0.58192,0.6163,0.39746,1.37189,1.37164,1.30571,0.000206691,0.000206691,0.000206691
110,674.552,0.74878,0.66185,0.95016,0.6422,0.54759,0.61688,0.39464,1.38963,1.38784,1.32253,0.000195373,0.000195373,0.000195373
111,680.115,0.79401,0.61509,0.99154,0.64879,0.56497,0.60977,0.38734,1.40475,1.40131,1.33391,0.000184055,0.000184055,0.000184055
112,685.861,0.76802,0.67823,0.95175,0.66775,0.59322,0.62633,0.40001,1.38451,1.34442,1.31164,0.000172738,0.000172738,0.000172738
113,691.483,0.79194,0.56643,0.9736,0.68097,0.56497,0.61978,0.39929,1.41576,1.40177,1.32382,0.00016142,0.00016142,0.00016142
114,697.052,0.80253,0.59963,0.99196,0.67492,0.56303,0.61628,0.39158,1.37257,1.49531,1.29458,0.000150102,0.000150102,0.000150102
115,702.702,0.77152,0.57338,0.97746,0.72203,0.54237,0.61519,0.39668,1.36129,1.43204,1.29938,0.000138784,0.000138784,0.000138784
